date;open;High;low;close;volume
18/03/2003;13.079.999.923.706.000;13.399.999.618.530.200;12.970.000.267.028.800;13.079.999.923.706.000;9578495
19/03/2003;13.180.000.305.175.700;13.529.999.732.971.100;13.029.999.732.971.100;13.180.000.305.175.700;6827236
20/03/2003;13.199.999.809.265.100;13.420.000.076.293.900;12.979.999.542.236.300;13.199.999.809.265.100;6865185
21/03/2003;13.729.999.542.236.300;13.800.000.190.734.800;13.25;13.729.999.542.236.300;22351824
24/03/2003;13.449.999.809.265.100;13.640.000.343.322.700;13.140.000.343.322.700;13.449.999.809.265.100;16716023
25/03/2003;13.949.999.809.265.100;13.989.999.771.118.100;13.140.000.343.322.700;13.949.999.809.265.100;8959159
26/03/2003;14.199.999.809.265.100;14.300.000.190.734.800;13.890.000.343.322.700;14.199.999.809.265.100;11127304
27/03/2003;13.600.000.381.469.700;13.630.000.114.440.900;13.350.000.381.469.700;13.600.000.381.469.700;62670100
28/03/2003;13.550.000.190.734.800;13.680.000.305.175.700;13.520.000.457.763.600;13.550.000.190.734.800;6642589
31/03/2003;13.220.000.267.028.800;13.399.999.618.530.200;13.149.999.618.530.200;13.220.000.267.028.800;11057778
01/04/2003;13.300.000.190.734.800;13.449.999.809.265.100;13.25;13.300.000.190.734.800;9757755
02/04/2003;13.510.000.228.881.800;13.649.999.618.530.200;13.369.999.885.559.000;13.510.000.228.881.800;17533412
03/04/2003;13.609.999.656.677.200;13.770.000.457.763.600;13.479.999.542.236.300;13.609.999.656.677.200;9326126
04/04/2003;13.75;13.899.999.618.530.200;13.510.000.228.881.800;13.75;8149795
07/04/2003;14.050.000.190.734.800;14.300.000.190.734.800;1.390.999.984.741.210;14.050.000.190.734.800;18899292
08/04/2003;14.0;141.899.995.803.833;1.384.000.015.258.780;14.0;8631613
09/04/2003;13.960.000.038.146.900;14.149.999.618.530.200;13.770.000.457.763.600;13.960.000.038.146.900;8968580
10/04/2003;13.829.999.923.706.000;13.949.999.809.265.100;13.770.000.457.763.600;13.829.999.923.706.000;9026618
11/04/2003;14.020.000.457.763.600;14.170.000.076.293.900;138.100.004.196.167;14.020.000.457.763.600;8178691
14/04/2003;14.079.999.923.706.000;14.180.000.305.175.700;1.390.999.984.741.210;14.079.999.923.706.000;5363610
15/04/2003;140.600.004.196.167;14.229.999.542.236.300;13.960.000.038.146.900;140.600.004.196.167;5180986
16/04/2003;13.600.000.381.469.700;14.229.999.542.236.300;13.539.999.961.853.000;13.600.000.381.469.700;11473845
17/04/2003;13.699.999.809.265.100;13.800.000.190.734.800;13.449.999.809.265.100;13.699.999.809.265.100;4329718
22/04/2003;13.649.999.618.530.200;13.699.999.809.265.100;13.460.000.038.146.900;13.649.999.618.530.200;5404044
23/04/2003;13.579.999.923.706.000;13.850.000.381.469.700;13.489.999.771.118.100;13.579.999.923.706.000;7230334
24/04/2003;13.510.000.228.881.800;13.609.999.656.677.200;13.399.999.618.530.200;13.510.000.228.881.800;6111541
25/04/2003;13.430.000.305.175.700;13.619.999.885.559.000;13.289.999.961.853.000;13.430.000.305.175.700;6874324
